order_uid,accept_time,delivery_time,transit_hours,courier_id
C002_70,2023-10-27,2023-10-27,0.0,C002
C002_71,2023-10-28,2023-10-28,0.0,C002
C002_72,2023-11-03,2023-11-03,0.0,C002
C002_73,2023-11-07,2023-11-07,0.0,C002
C002_74,2023-11-08,2023-11-08,0.0,C002
C002_75,2023-11-11,2023-11-11,0.0,C002
C002_76,2023-11-13,2023-11-13,0.0,C002
C002_77,2023-11-15,2023-11-15,0.0,C002
C002_78,2023-11-16,2023-11-16,0.0,C002
C002_79,2023-11-28,2023-11-28,0.0,C002
C002_8,2023-01-28,2023-01-28,0.0,C002
C002_80,2023-12-04,2023-12-04,0.0,C002
C002_81,2023-12-08,2023-12-08,0.0,C002
C002_82,2023-12-10,2023-12-10,0.0,C002
C002_83,2023-12-15,2023-12-15,0.0,C002
C002_84,2023-12-17,2023-12-17,0.0,C002
C002_85,2023-12-19,2023-12-19,0.0,C002
C002_86,2023-12-21,2023-12-21,0.0,C002
C002_87,2023-12-24,2023-12-24,0.0,C002
C002_88,2023-12-28,2023-12-28,0.0,C002
C002_9,2023-01-29,2023-01-29,0.0,C002
C003_0,2023-01-02,2023-01-02,0.0,C003
C003_1,2023-01-03,2023-01-03,0.0,C003
C003_10,2023-02-22,2023-02-22,0.0,C003
C003_11,2023-02-28,2023-02-28,0.0,C003
C003_12,2023-03-04,2023-03-04,0.0,C003
C003_13,2023-03-10,2023-03-10,0.0,C003
C003_14,2023-03-15,2023-03-15,0.0,C003
C003_15,2023-03-16,2023-03-16,0.0,C003
C003_16,2023-03-21,2023-03-21,0.0,C003
C003_17,2023-03-23,2023-03-23,0.0,C003
C003_18,2023-03-24,2023-03-24,0.0,C003
C003_19,2023-03-28,2023-03-28,0.0,C003
C003_2,2023-01-13,2023-01-13,0.0,C003
C003_20,2023-03-31,2023-03-31,0.0,C003
C003_21,2023-04-03,2023-04-03,0.0,C003
C003_22,2023-04-06,2023-04-06,0.0,C003
C003_23,2023-04-08,2023-04-08,0.0,C003
C003_24,2023-04-13,2023-04-13,0.0,C003
C003_25,2023-04-14,2023-04-14,0.0,C003
C003_26,2023-04-20,2023-04-20,0.0,C003
C003_27,2023-04-27,2023-04-27,0.0,C003
C003_28,2023-04-28,2023-04-28,0.0,C003
C003_29,2023-05-01,2023-05-01,0.0,C003
C003_3,2023-01-19,2023-01-19,0.0,C003
C003_30,2023-05-06,2023-05-06,0.0,C003
C003_31,2023-05-16,2023-05-16,0.0,C003
C003_32,2023-05-23,2023-05-23,0.0,C003
C003_33,2023-05-27,2023-05-27,0.0,C003
C003_34,2023-05-30,2023-05-30,0.0,C003
C003_35,2023-06-09,2023-06-09,0.0,C003
C003_36,2023-06-13,2023-06-13,0.0,C003
C003_37,2023-06-14,2023-06-14,0.0,C003
C003_38,2023-06-17,2023-06-17,0.0,C003
C003_39,2023-06-20,2023-06-20,0.0,C003
C003_4,2023-01-23,2023-01-23,0.0,C003
C003_40,2023-06-21,2023-06-21,0.0,C003
C003_41,2023-07-01,2023-07-01,0.0,C003
C003_42,2023-07-02,2023-07-02,0.0,C003
C003_43,2023-07-05,2023-07-05,0.0,C003
C003_44,2023-07-11,2023-07-11,0.0,C003
C003_45,2023-07-13,2023-07-13,0.0,C003
C003_46,2023-07-18,2023-07-18,0.0,C003
C003_47,2023-07-24,2023-07-24,0.0,C003
C003_48,2023-07-25,2023-07-25,0.0,C003
C003_49,2023-07-27,2023-07-27,0.0,C003
C003_5,2023-01-24,2023-01-24,0.0,C003
C003_50,2023-08-03,2023-08-03,0.0,C003
C003_51,2023-08-05,2023-08-05,0.0,C003
C003_52,2023-08-06,2023-08-06,0.0,C003
C003_53,2023-08-07,2023-08-07,0.0,C003
C003_54,2023-08-08,2023-08-08,0.0,C003
C003_55,2023-08-16,2023-08-16,0.0,C003
C003_56,2023-08-19,2023-08-19,0.0,C003
C003_57,2023-08-21,2023-08-21,0.0,C003
C003_58,2023-08-28,2023-08-28,0.0,C003
C003_59,2023-09-03,2023-09-03,0.0,C003
C003_6,2023-01-28,2023-01-28,0.0,C003
C003_60,2023-09-06,2023-09-06,0.0,C003
C003_61,2023-09-09,2023-09-09,0.0,C003
C003_62,2023-09-10,2023-09-10,0.0,C003
C003_63,2023-09-13,2023-09-13,0.0,C003
C003_64,2023-09-22,2023-09-22,0.0,C003
C003_65,2023-09-24,2023-09-24,0.0,C003
C003_66,2023-09-25,2023-09-25,0.0,C003
C003_67,2023-10-02,2023-10-02,0.0,C003
C003_68,2023-10-06,2023-10-06,0.0,C003
C003_69,2023-10-07,2023-10-07,0.0,C003
C003_7,2023-01-31,2023-01-31,0.0,C003
C003_70,2023-10-24,2023-10-24,0.0,C003
C003_71,2023-10-30,2023-10-30,0.0,C003
C003_72,2023-11-04,2023-11-04,0.0,C003
C003_73,2023-11-14,2023-11-14,0.0,C003
C003_74,2023-11-26,2023-11-26,0.0,C003
C003_75,2023-11-28,2023-11-28,0.0,C003
C003_76,2023-11-30,2023-11-30,0.0,C003
C003_77,2023-12-05,2023-12-05,0.0,C003
C003_78,2023-12-06,2023-12-06,0.0,C003
C003_79,2023-12-07,2023-12-07,0.0,C003
C003_8,2023-02-11,2023-02-11,0.0,C003
C003_80,2023-12-09,2023-12-09,0.0,C003
C003_81,2023-12-12,2023-12-12,0.0,C003
C003_82,2023-12-15,2023-12-15,0.0,C003
C003_83,2023-12-20,2023-12-20,0.0,C003
C003_84,2023-12-21,2023-12-21,0.0,C003
C003_85,2023-12-27,2023-12-27,0.0,C003
C003_9,2023-02-12,2023-02-12,0.0,C003
C004_0,2023-01-03,2023-01-03,0.0,C004
C004_1,2023-01-11,2023-01-11,0.0,C004
C004_10,2023-02-06,2023-02-06,0.0,C004
C004_11,2023-02-07,2023-02-07,0.0,C004
C004_12,2023-02-10,2023-02-10,0.0,C004
C004_13,2023-02-24,2023-02-24,0.0,C004
C004_14,2023-02-26,2023-02-26,0.0,C004
C004_15,2023-02-27,2023-02-27,0.0,C004
C004_16,2023-03-01,2023-03-01,0.0,C004
C004_17,2023-03-07,2023-03-07,0.0,C004
C004_18,2023-03-16,2023-03-16,0.0,C004
C004_19,2023-03-17,2023-03-17,0.0,C004
C004_2,2023-01-16,2023-01-16,0.0,C004
C004_20,2023-03-19,2023-03-19,0.0,C004
C004_21,2023-03-24,2023-03-24,0.0,C004
C004_22,2023-03-27,2023-03-27,0.0,C004
C004_23,2023-03-28,2023-03-28,0.0,C004
C004_24,2023-04-01,2023-04-01,0.0,C004
C004_25,2023-04-03,2023-04-03,0.0,C004
C004_26,2023-04-07,2023-04-07,0.0,C004
C004_27,2023-04-08,2023-04-08,0.0,C004
C004_28,2023-04-10,2023-04-10,0.0,C004
C004_29,2023-04-12,2023-04-12,0.0,C004
C004_3,2023-01-20,2023-01-20,0.0,C004
C004_30,2023-04-17,2023-04-17,0.0,C004
C004_31,2023-04-18,2023-04-18,0.0,C004
C004_32,2023-04-20,2023-04-20,0.0,C004
C004_33,2023-04-25,2023-04-25,0.0,C004
C004_34,2023-04-28,2023-04-28,0.0,C004
C004_35,2023-05-02,2023-05-02,0.0,C004
C004_36,2023-05-04,2023-05-04,0.0,C004
C004_37,2023-05-06,2023-05-06,0.0,C004
C004_38,2023-05-09,2023-05-09,0.0,C004
C004_39,2023-05-12,2023-05-12,0.0,C004
C004_4,2023-01-21,2023-01-21,0.0,C004
C004_40,2023-05-13,2023-05-13,0.0,C004
C004_41,2023-05-16,2023-05-16,0.0,C004
C004_42,2023-05-17,2023-05-17,0.0,C004
C004_43,2023-05-19,2023-05-19,0.0,C004
C004_44,2023-05-21,2023-05-21,0.0,C004
C004_45,2023-06-01,2023-06-01,0.0,C004
C004_46,2023-06-06,2023-06-06,0.0,C004
C004_47,2023-06-09,2023-06-09,0.0,C004
C004_48,2023-06-13,2023-06-13,0.0,C004
C004_49,2023-06-15,2023-06-15,0.0,C004
C004_5,2023-01-24,2023-01-24,0.0,C004
C004_50,2023-06-23,2023-06-23,0.0,C004
C004_51,2023-06-28,2023-06-28,0.0,C004
C004_52,2023-07-07,2023-07-07,0.0,C004
C004_53,2023-07-10,2023-07-10,0.0,C004
C004_54,2023-07-19,2023-07-19,0.0,C004
C004_55,2023-07-24,2023-07-24,0.0,C004
C004_56,2023-07-26,2023-07-26,0.0,C004
C004_57,2023-07-31,2023-07-31,0.0,C004
C004_58,2023-08-06,2023-08-06,0.0,C004
C004_59,2023-08-09,2023-08-09,0.0,C004
C004_6,2023-01-26,2023-01-26,0.0,C004
C004_60,2023-08-11,2023-08-11,0.0,C004
C004_61,2023-08-12,2023-08-12,0.0,C004
C004_62,2023-08-23,2023-08-23,0.0,C004
C004_63,2023-08-24,2023-08-24,0.0,C004
C004_64,2023-09-03,2023-09-03,0.0,C004
C004_65,2023-09-10,2023-09-10,0.0,C004
C004_66,2023-09-16,2023-09-16,0.0,C004
C004_67,2023-09-18,2023-09-18,0.0,C004
C004_68,2023-09-19,2023-09-19,0.0,C004
C004_69,2023-09-20,2023-09-20,0.0,C004
C004_7,2023-01-28,2023-01-28,0.0,C004
C004_70,2023-09-21,2023-09-21,0.0,C004
C004_71,2023-09-30,2023-09-30,0.0,C004
C004_72,2023-10-16,2023-10-16,0.0,C004
C004_73,2023-10-18,2023-10-18,0.0,C004
C004_74,2023-10-21,2023-10-21,0.0,C004
C004_75,2023-10-23,2023-10-23,0.0,C004
C004_76,2023-10-26,2023-10-26,0.0,C004
C004_77,2023-10-30,2023-10-30,0.0,C004
C004_78,2023-11-03,2023-11-03,0.0,C004
C004_79,2023-11-04,2023-11-04,0.0,C004
C004_8,2023-01-31,2023-01-31,0.0,C004
C004_80,2023-11-11,2023-11-11,0.0,C004
C004_81,2023-11-18,2023-11-18,0.0,C004
C004_82,2023-11-29,2023-11-29,0.0,C004
C004_83,2023-12-02,2023-12-02,0.0,C004
C004_84,2023-12-07,2023-12-07,0.0,C004
C004_85,2023-12-09,2023-12-09,0.0,C004
C004_86,2023-12-16,2023-12-16,0.0,C004
C004_87,2023-12-17,2023-12-17,0.0,C004
C004_88,2023-12-18,2023-12-18,0.0,C004
C004_89,2023-12-21,2023-12-21,0.0,C004
C004_9,2023-02-05,2023-02-05,0.0,C004
C004_90,2023-12-25,2023-12-25,0.0,C004
C005_0,2023-01-03,2023-01-03,0.0,C005
C005_1,2023-01-14,2023-01-14,0.0,C005
C005_10,2023-02-24,2023-02-24,0.0,C005
C005_11,2023-02-25,2023-02-25,0.0,C005
C005_12,2023-02-26,2023-02-26,0.0,C005
C005_13,2023-03-03,2023-03-03,0.0,C005
C005_14,2023-03-12,2023-03-12,0.0,C005
C005_15,2023-03-16,2023-03-16,0.0,C005
C005_16,2023-03-22,2023-03-22,0.0,C005
C005_17,2023-03-27,2023-03-27,0.0,C005
C005_18,2023-04-15,2023-04-15,0.0,C005
C005_19,2023-04-18,2023-04-18,0.0,C005
C005_2,2023-01-16,2023-01-16,0.0,C005
C005_20,2023-04-28,2023-04-28,0.0,C005
C005_21,2023-04-29,2023-04-29,0.0,C005
C005_22,2023-05-05,2023-05-05,0.0,C005
C005_23,2023-05-11,2023-05-11,0.0,C005
C005_24,2023-05-23,2023-05-23,0.0,C005
C005_25,2023-06-02,2023-06-02,0.0,C005
C005_26,2023-06-19,2023-06-19,0.0,C005
C005_27,2023-06-21,2023-06-21,0.0,C005
C005_28,2023-06-22,2023-06-22,0.0,C005
C005_29,2023-07-01,2023-07-01,0.0,C005
C005_3,2023-01-19,2023-01-19,0.0,C005
C005_30,2023-07-04,2023-07-04,0.0,C005
C005_31,2023-07-06,2023-07-06,0.0,C005
C005_32,2023-07-07,2023-07-07,0.0,C005
C005_33,2023-07-08,2023-07-08,0.0,C005
C005_34,2023-07-17,2023-07-17,0.0,C005
C005_35,2023-07-20,2023-07-20,0.0,C005
C005_36,2023-07-23,2023-07-23,0.0,C005
C005_37,2023-07-26,2023-07-26,0.0,C005
C005_38,2023-07-27,2023-07-27,0.0,C005
C005_39,2023-08-02,2023-08-02,0.0,C005
C005_4,2023-01-23,2023-01-23,0.0,C005
C005_40,2023-08-03,2023-08-03,0.0,C005
C005_41,2023-08-09,2023-08-09,0.0,C005
C005_42,2023-08-25,2023-08-25,0.0,C005
C005_43,2023-08-30,2023-08-30,0.0,C005
C005_44,2023-09-02,2023-09-02,0.0,C005
C005_45,2023-09-03,2023-09-03,0.0,C005
C005_46,2023-09-04,2023-09-04,0.0,C005
C005_47,2023-09-29,2023-09-29,0.0,C005
C005_48,2023-09-30,2023-09-30,0.0,C005
C005_49,2023-10-02,2023-10-02,0.0,C005
C005_5,2023-02-07,2023-02-07,0.0,C005
C005_50,2023-10-07,2023-10-07,0.0,C005
C005_51,2023-10-09,2023-10-09,0.0,C005
C005_52,2023-10-10,2023-10-10,0.0,C005
C005_53,2023-10-11,2023-10-11,0.0,C005
C005_54,2023-10-12,2023-10-12,0.0,C005
C005_55,2023-10-18,2023-10-18,0.0,C005
C005_56,2023-10-26,2023-10-26,0.0,C005
C005_57,2023-10-31,2023-10-31,0.0,C005
C005_58,2023-11-01,2023-11-01,0.0,C005
C005_59,2023-11-02,2023-11-02,0.0,C005
C005_6,2023-02-11,2023-02-11,0.0,C005
C005_60,2023-11-04,2023-11-04,0.0,C005
C005_61,2023-11-07,2023-11-07,0.0,C005
C005_62,2023-11-09,2023-11-09,0.0,C005
C005_63,2023-11-10,2023-11-10,0.0,C005
C005_64,2023-11-22,2023-11-22,0.0,C005
C005_65,2023-11-24,2023-11-24,0.0,C005
C005_66,2023-12-02,2023-12-02,0.0,C005
C005_67,2023-12-06,2023-12-06,0.0,C005
C005_68,2023-12-08,2023-12-08,0.0,C005
C005_69,2023-12-14,2023-12-14,0.0,C005
C005_7,2023-02-17,2023-02-17,0.0,C005
C005_70,2023-12-17,2023-12-17,0.0,C005
C005_71,2023-12-22,2023-12-22,0.0,C005
C005_72,2023-12-24,2023-12-24,0.0,C005
C005_73,2023-12-26,2023-12-26,0.0,C005
C005_8,2023-02-20,2023-02-20,0.0,C005
C005_9,2023-02-23,2023-02-23,0.0,C005
C006_0,2023-01-01,2023-01-01,0.0,C006
C006_1,2023-01-05,2023-01-05,0.0,C006
C006_10,2023-01-26,2023-01-26,0.0,C006
C006_11,2023-02-06,2023-02-06,0.0,C006
C006_12,2023-02-11,2023-02-11,0.0,C006
C006_13,2023-02-14,2023-02-14,0.0,C006
C006_14,2023-02-25,2023-02-25,0.0,C006
C006_15,2023-02-27,2023-02-27,0.0,C006
C006_16,2023-03-01,2023-03-01,0.0,C006
C006_17,2023-03-04,2023-03-04,0.0,C006
C006_18,2023-03-09,2023-03-09,0.0,C006
C006_19,2023-03-11,2023-03-11,0.0,C006
C006_2,2023-01-07,2023-01-07,0.0,C006
C006_20,2023-03-18,2023-03-18,0.0,C006
C006_21,2023-03-20,2023-03-20,0.0,C006
C006_22,2023-03-23,2023-03-23,0.0,C006
C006_23,2023-03-28,2023-03-28,0.0,C006
C006_24,2023-04-02,2023-04-02,0.0,C006
C006_25,2023-04-04,2023-04-04,0.0,C006
C006_26,2023-04-08,2023-04-08,0.0,C006
C006_27,2023-04-09,2023-04-09,0.0,C006
C006_28,2023-04-13,2023-04-13,0.0,C006
C006_29,2023-04-15,2023-04-15,0.0,C006
C006_3,2023-01-09,2023-01-09,0.0,C006
C006_30,2023-04-17,2023-04-17,0.0,C006
C006_31,2023-04-19,2023-04-19,0.0,C006
C006_32,2023-04-23,2023-04-23,0.0,C006
C006_33,2023-04-26,2023-04-26,0.0,C006
C006_34,2023-05-04,2023-05-04,0.0,C006
C006_35,2023-05-08,2023-05-08,0.0,C006
C006_36,2023-05-09,2023-05-09,0.0,C006
C006_37,2023-05-10,2023-05-10,0.0,C006
C006_38,2023-05-12,2023-05-12,0.0,C006
C006_39,2023-05-17,2023-05-17,0.0,C006
C006_4,2023-01-10,2023-01-10,0.0,C006
C006_40,2023-05-22,2023-05-22,0.0,C006
C006_41,2023-05-28,2023-05-28,0.0,C006
C006_42,2023-05-29,2023-05-29,0.0,C006
C006_43,2023-05-30,2023-05-30,0.0,C006
C006_44,2023-06-04,2023-06-04,0.0,C006
C006_45,2023-06-06,2023-06-06,0.0,C006
C006_46,2023-06-11,2023-06-11,0.0,C006
C006_47,2023-06-15,2023-06-15,0.0,C006
C006_48,2023-06-17,2023-06-17,0.0,C006
C006_49,2023-06-20,2023-06-20,0.0,C006
C006_5,2023-01-11,2023-01-11,0.0,C006
C006_50,2023-06-22,2023-06-22,0.0,C006
C006_51,2023-06-23,2023-06-23,0.0,C006
C006_52,2023-06-30,2023-06-30,0.0,C006
C006_53,2023-07-02,2023-07-02,0.0,C006
C006_54,2023-07-08,2023-07-08,0.0,C006
C006_55,2023-07-10,2023-07-10,0.0,C006
C006_56,2023-07-14,2023-07-14,0.0,C006
C006_57,2023-07-19,2023-07-19,0.0,C006
C006_58,2023-07-20,2023-07-20,0.0,C006
C006_59,2023-07-22,2023-07-22,0.0,C006
C006_6,2023-01-13,2023-01-13,0.0,C006
C006_60,2023-07-23,2023-07-23,0.0,C006
C006_61,2023-07-29,2023-07-29,0.0,C006
C006_62,2023-07-30,2023-07-30,0.0,C006
C006_63,2023-07-31,2023-07-31,0.0,C006
C006_64,2023-08-01,2023-08-01,0.0,C006
C006_65,2023-08-07,2023-08-07,0.0,C006
C006_66,2023-08-09,2023-08-09,0.0,C006
C006_67,2023-08-13,2023-08-13,0.0,C006
C006_68,2023-08-22,2023-08-22,0.0,C006
C006_69,2023-08-30,2023-08-30,0.0,C006
C006_7,2023-01-18,2023-01-18,0.0,C006
C006_70,2023-09-02,2023-09-02,0.0,C006
C006_71,2023-09-04,2023-09-04,0.0,C006
C006_72,2023-09-05,2023-09-05,0.0,C006
C006_73,2023-09-13,2023-09-13,0.0,C006
C006_74,2023-09-16,2023-09-16,0.0,C006
C006_75,2023-09-28,2023-09-28,0.0,C006
C006_76,2023-10-07,2023-10-07,0.0,C006
C006_77,2023-10-13,2023-10-13,0.0,C006
C006_78,2023-10-15,2023-10-15,0.0,C006
C006_79,2023-10-17,2023-10-17,0.0,C006
C006_8,2023-01-20,2023-01-20,0.0,C006
C006_80,2023-10-19,2023-10-19,0.0,C006
C006_81,2023-10-20,2023-10-20,0.0,C006
C006_82,2023-10-27,2023-10-27,0.0,C006
C006_83,2023-10-31,2023-10-31,0.0,C006
C006_84,2023-11-06,2023-11-06,0.0,C006
C006_85,2023-11-17,2023-11-17,0.0,C006
C006_86,2023-11-23,2023-11-23,0.0,C006
C006_87,2023-11-27,2023-11-27,0.0,C006
C006_88,2023-11-29,2023-11-29,0.0,C006
C006_89,2023-12-01,2023-12-01,0.0,C006
C006_9,2023-01-24,2023-01-24,0.0,C006
C006_90,2023-12-12,2023-12-12,0.0,C006
C006_91,2023-12-17,2023-12-17,0.0,C006
C006_92,2023-12-27,2023-12-27,0.0,C006
C007_0,2023-01-06,2023-01-06,0.0,C007
C007_1,2023-01-07,2023-01-07,0.0,C007
C007_10,2023-02-06,2023-02-06,0.0,C007
C007_11,2023-02-07,2023-02-07,0.0,C007
C007_12,2023-02-08,2023-02-08,0.0,C007
C007_13,2023-02-09,2023-02-09,0.0,C007
C007_14,2023-02-11,2023-02-11,0.0,C007
C007_15,2023-02-14,2023-02-14,0.0,C007
C007_16,2023-02-18,2023-02-18,0.0,C007
C007_17,2023-02-19,2023-02-19,0.0,C007
C007_18,2023-02-21,2023-02-21,0.0,C007
C007_19,2023-02-26,2023-02-26,0.0,C007
C007_2,2023-01-13,2023-01-13,0.0,C007
C007_20,2023-03-03,2023-03-03,0.0,C007
C007_21,2023-03-05,2023-03-05,0.0,C007
C007_22,2023-03-09,2023-03-09,0.0,C007
